## radius: 6.35 [mm]
## thickness: 1.0 [mm]

## 180 [not cyclic]

0	0
6	0
8	45
6	90

0	0
6	90
8	135
6	180


## 90

6	0
12	0
12	22.5
8	45

8	45
12	67.5
12	90
6	90

12	0
18	0
18	22.5
12	22.5

12	22.5
18	22.5
18	45
8	45

8	45
18	45
18	67.5
12	67.5

12	67.5
18	67.5
18	90
12	90

18	0
24	0
24	15
18	22.5

18	22.5
24	15
24	30
18	45

18	45
24	60
24	75
18	67.5

18	67.5
24	75
24	90
18	90

24	0
30	0
30	15
24	15

24	15
30	15
30	30
24	30

24	30
30	30
30	45
18	45

18	45
30	45
30	60
24	60

24	60
30	60
30	75
24	75

24	75
30	75
30	90
24	90


## 15

30	0
36	0
36	15
30	15


## 30

36	0
42	0
42	7.5
36	15

36	15
42	22.5
42	30
36	30

42	0
48	0
48	7.5
42	7.5

42	7.5
48	7.5
48	15
36	15

36	15
48	15
48	22.5
42	22.5

42	22.5
48	22.5
48	30
42	30


## 15

48	0
54	0
54	7.5
48	7.5

48	7.5
54	7.5
54	15
48	15


## 30

54	0
60	0
60	5
54	7.5

54	7.5
60	5
60	10
54	15

54	15
60	20
60	25
54	22.5

54	22.5
60	25
60	30
54	30

60	0
65	0
65	5
60	5

60	5
65	5
65	10
60	10

60	10
65	10
65	15
54	15

54	15
65	15
65	20
60	20

60	20
65	20
65	25
60	25

60	25
65	25
65	30
60	30

65	0
70	0
70	3.75
65	5

65	5
70	3.75
70	7.5
65	10

65	10
70	7.5
70	11.25
65	15

65	15
70	18.75
70	22.5
65	20

65	20
70	22.5
70	26.25
65	25

65	25
70	26.25
70	30
65	30

70	0
75	0
75	3.75
70	3.75

70	3.75
75	3.75
75	7.5
70	7.5

70	7.5
75	7.5
75	11.25
70	11.25

70	11.25
75	11.25
75	15
65	15

65	15
75	15
75	18.75
70	18.75

70	18.75
75	18.75
75	22.5
70	22.5

70	22.5
75	22.5
75	26.25
70	26.25

70	26.25
75	26.25
75	30
70	30

75	0
80	0
80	3
75	3.75

75	3.75
80	3
80	6
75	7.5

75	7.5
80	6
80	9
75	11.25

75	11.25
80	9
80	12
75	15

75	15
80	18
80	21
75	18.75

75	18.75
80	21
80	24
75	22.5

75	22.5
80	24
80	27
75	26.25

75	26.25
80	27
80	30
75	30

80	0
85	0
85	3
80	3

80	3
85	3
85	6
80	6

80	6
85	6
85	9
80	9

80	9
85	9
85	12
80	12

80	12
85	12
85	15
75	15

75	15
85	15
85	18
80	18

80	18
85	18
85	21
80	21

80	21
85	21
85	24
80	24

80	24
85	24
85	27
80	27

80	27
85	27
85	30
80	30


## 3

85	0
90	0
90	3
85	3

90	0
95	0
95	3
90	3

95	0
100	0
100	3
95	3
